"Region, subregion, country or area *",0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Uganda,7.33E+03,6614.4205,5899.4005,5151.082,4348.173,3499.504,2618.559,1903.175,1503.6695,1234.979,952.8675,687.315,500.2975,353.2215,197.1705,92.682,43.893,15.4255,3.5645,0.6165,0.096
United States of America,1.98E+04,20697.0755,22092.1675,21895.1225,21871.8085,23406.9275,22842.1515,22296.9525,20694.5555,21244.2585,21346.4345,22347.5005,20941.0635,17500.8715,13688.5955,9272.809,6118.8665,3977.1775,1656.067,501.7545,78.955
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age,Uganda,USA,Uganda_corrected,Usa_corrected,,,,,,,,,,,,,,,,,
0-4,7.33E+03,1.98E+04,7.33E+06,1.98E+07,,,,,,,,,,,,,,,,,
5-9,6.61E+03,20697.0755,6.61E+06,2.07E+07,,,,,,,,,,,,,,,,,
10-14,5.90E+03,22092.1675,5.90E+06,2.21E+07,,,,,,,,,,,,,,,,,
15-19,5.15E+03,21895.1225,5.15E+06,2.19E+07,,,,,,,,,,,,,,,,,
20-24,4.35E+03,21871.8085,4.35E+06,2.19E+07,,,,,,,,,,,,,,,,,
25-29,3.50E+03,23406.9275,3.50E+06,2.34E+07,,,,,,,,,,,,,,,,,
30-34,2.62E+03,22842.1515,2.62E+06,2.28E+07,,,,,,,,,,,,,,,,,
35-39,1.90E+03,22296.9525,1.90E+06,2.23E+07,,,,,,,,,,,,,,,,,
40-44,1.50E+03,20694.5555,1.50E+06,2.07E+07,,,,,,,,,,,,,,,,,
45-49,1.23E+03,21244.2585,1.23E+06,2.12E+07,,,,,,,,,,,,,,,,,
50-54,9.53E+02,21346.4345,9.53E+05,2.13E+07,,,,,,,,,,,,,,,,,
55-59,6.87E+02,22347.5005,6.87E+05,2.23E+07,,,,,,,,,,,,,,,,,
60-64,5.00E+02,20941.0635,5.00E+05,2.09E+07,,,,,,,,,,,,,,,,,
65-69,3.53E+02,17500.8715,3.53E+05,1.75E+07,,,,,,,,,,,,,,,,,
70-74,1.97E+02,13688.5955,1.97E+05,1.37E+07,,,,,,,,,,,,,,,,,
75-79,9.27E+01,9272.809,9.27E+04,9.27E+06,,,,,,,,,,,,,,,,,
80-84,4.39E+01,6118.8665,4.39E+04,6.12E+06,,,,,,,,,,,,,,,,,
85-89,1.54E+01,3977.1775,1.54E+04,3.98E+06,,,,,,,,,,,,,,,,,
90-94,3.56E+00,1656.067,3.56E+03,1.66E+06,,,,,,,,,,,,,,,,,
95-99,6.17E-01,501.7545,6.17E+02,5.02E+05,,,,,,,,,,,,,,,,,
100+,9.60E-02,78.955,9.60E+01,7.90E+04,,,,,,,,,,,,,,,,,
,4.29E+04,3.34E+05,4.29E+07,3.34E+08,,,,,,,,,,,,,,,,,